invoice_credit_ratio,prev_late_rate,amount_vs_industry_median,daily_obligation,is_high_utilisation,is_repeat_offender,is_clean_record,is_first_time_client,is_long_term_client,is_high_risk_industry,is_mega_invoice,is_Q4_due,is_dashain_season,is_vat_filing_month,invoice_quarter,due_quarter,days_to_fy_end,due_on_weekend,industry_target_enc,tenure_band,amount_band_ord,utilisation_x_history,risk_x_amount,q4_x_late_history,manual_risk_score,client_total_invoices,client_avg_invoice,client_avg_delay,client_late_rate,client_late_count,Invoice_Amount,Tenure_Years,Prev_Late_Count,Credit_Days,Invoice_ID,Client_ID,Client_Name,Industry,Province,Is_Late
0.3241,0.6,0.438,3111.0,0,1,0,0,0,1,0,0,0,1,2,2,222,0,0.4259,1,1,0.9722999999999999,0.059626000000000005,0,0.36,6,435166.67,66.0,0.5,3,140000,1.8,3,45,HAA-00001,NP0103,Thamel Tourism Pvt. Ltd.,Tourism & Hotels,Madhesh,1
0.579,0.6,1.165,36467.0,0,1,0,0,0,1,1,0,0,1,4,1,0,0,0.4579,1,2,1.7369999999999999,0.7514139,0,0.4174,5,931400.0,26.6,0.2,1,1641000,2.82,3,45,HAA-00002,NP0180,Kathmandu Nirman Pvt. Ltd.,Construction,Koshi,1
0.6321,0.6,1.317,31333.0,0,1,0,0,0,1,0,0,0,1,2,3,175,0,0.3615,1,2,1.8963,0.33980999999999995,0,0.4087,6,832500.0,31.33,0.17,1,940000,1.25,3,30,HAA-00003,NP0093,Annapurna Merchandise Pvt. Ltd.,Trading & Import,Bagmati,0
0.6082,0.4,1.589,49711.0,0,0,0,0,1,1,1,0,1,1,1,2,272,0,0.4579,3,3,1.2164,1.0243223,0,0.3532,6,872833.33,61.33,0.5,3,2237000,8.49,2,45,HAA-00004,NP0015,Kathmandu Nirman Pvt. Ltd.,Construction,Bagmati,1
0.3829,0.8,0.548,5833.0,0,1,0,0,1,1,0,1,0,0,4,4,64,0,0.4259,3,1,1.5316,0.0745325,4,0.5418,1,175000.0,8.0,0.0,0,175000,7.11,4,30,HAA-00005,NP0107,Sagarmatha Trekking Co.,Tourism & Hotels,Sudurpashchim,0
0.4569,0.2,1.498,19600.0,0,0,0,0,0,0,0,1,0,1,3,4,100,1,0.1977,2,2,0.4569,0.11624759999999999,1,0.3009,3,907666.67,48.67,0.33,1,588000,4.3,1,30,HAA-00006,NP0072,Digital Yatra Pvt. Ltd.,Services & IT,Gandaki,1
0.3272,0.2,1.108,5900.0,0,0,0,0,1,1,0,0,0,1,2,3,189,0,0.4259,3,1,0.3272,0.1507686,0,0.2206,6,489833.33,55.5,0.5,3,354000,7.82,1,60,HAA-00007,NP0189,Pokhara Resort & Spa,Tourism & Hotels,Bagmati,1
0.2511,0.4,0.708,3978.0,0,0,0,0,0,1,0,1,0,1,3,4,93,1,0.2553,1,1,0.5022,0.0456987,2,0.3413,6,926666.67,46.0,0.33,2,179000,2.43,2,45,HAA-00008,NP0021,Nepal Spices Pvt. Ltd.,Agriculture,Gandaki,0
0.4056,0.4,0.397,9667.0,0,0,0,0,1,0,0,0,1,0,2,2,254,1,0.2708,3,1,0.8112,0.07853199999999999,0,0.2753,6,435166.67,66.0,0.5,3,290000,6.52,2,30,HAA-00009,NP0103,Hetauda Chemicals Pvt. Ltd.,Manufacturing,Sudurpashchim,0
0.3408,0.4,1.301,30967.0,0,0,0,0,1,1,0,0,0,1,2,3,172,0,0.3615,3,2,0.6816,0.3358335,0,0.2805,5,1039800.0,43.2,0.4,2,929000,7.74,2,30,HAA-00010,NP0122,Nepal Trade House,Trading & Import,Gandaki,0
0.394,0.0,0.514,5867.0,0,0,1,0,0,0,0,0,0,1,4,1,0,0,0.12,2,1,0.0,0.03168,0,0.1028,6,564333.33,27.67,0.17,1,264000,3.37,0,45,HAA-00011,NP0075,Goodwill Finance Co.,Banking & Finance,Lumbini,0
0.2764,0.4,0.723,42167.0,0,0,0,0,1,0,0,0,1,1,1,2,286,0,0.1917,3,2,0.5528,0.24250049999999998,0,0.2336,3,1109333.33,9.67,0.0,0,1265000,6.88,2,30,HAA-00012,NP0088,Tamor Power Pvt. Ltd.,Hydropower,Madhesh,0
0.2663,0.6,0.243,14167.0,0,1,0,0,0,0,0,0,0,1,2,3,193,0,0.1917,1,1,0.7988999999999999,0.0814725,0,0.3016,8,628000.0,21.5,0.25,2,425000,2.83,3,30,HAA-00013,NP0117,Tamor Power Pvt. Ltd.,Hydropower,Gandaki,1
0.2708,0.2,1.405,33433.0,0,0,0,0,0,1,0,1,0,1,4,4,35,0,0.3615,1,2,0.2708,0.3625845,1,0.2965,4,1110250.0,38.0,0.25,1,1003000,2.86,1,30,HAA-00014,NP0100,Everest Imports Pvt. Ltd.,Trading & Import,Bagmati,1
