Month,Quarter,Revenue,COGS,Gross_Profit,Opex,Net_Profit,Margin_Pct
Shrawan,Q1,922000,349000,573000,160000,413000,44.79
Bhadra,Q1,1471000,706000,765000,160000,605000,41.13
Ashwin,Q1,932000,337000,595000,235000,360000,38.63
Kartik,Q2,1059000,524000,536000,132000,403000,38.05
Mangsir,Q2,910000,489000,421000,92000,329000,36.15
Poush,Q2,1532000,537000,996000,322000,673000,43.93
Magh,Q3,1903000,1044000,860000,238000,622000,32.69
Falgun,Q3,937000,444000,494000,196000,298000,31.8
Chaitra,Q3,1800000,850000,950000,279000,671000,37.28
Baishakh,Q4,1936000,680000,1256000,467000,789000,40.75
Jestha,Q4,1713000,607000,1105000,371000,734000,42.85
Ashadh,Q4,975000,444000,532000,154000,377000,38.67
