invoice_no,date,customer_code,customer_name,amount,vat,total,payment_status
SI/2081/1000,2082-03-06,C006,Langtang Stores,1028597,133718,1162315,Late
SI/2081/1001,2082-02-02,C006,Langtang Stores,505801,65754,571555,Paid
SI/2081/1002,2081-06-24,C003,Dhaulagiri Wholesale,511628,66512,578140,Paid
SI/2081/1003,2081-10-19,C003,Dhaulagiri Wholesale,739098,96083,835181,Paid
SI/2081/1004,2081-11-14,C002,Manaslu Retail Chain,202451,26319,228770,Outstanding
SI/2081/1005,2081-07-03,C008,Rara Exporters,1011471,131491,1142962,Outstanding
SI/2081/1006,2082-03-04,C001,Sagarmatha Distributors,1743641,226673,1970314,Outstanding
SI/2081/1007,2081-05-30,C002,Manaslu Retail Chain,1170671,152187,1322858,Paid
SI/2081/1008,2081-08-22,C006,Langtang Stores,1345242,174881,1520123,Paid
SI/2081/1009,2081-05-31,C007,Makalu Trading,1603418,208444,1811862,Paid
SI/2081/1010,2081-12-03,C004,Annapurna Holdings Pvt. Ltd.,1519592,197547,1717139,Outstanding
SI/2081/1011,2081-09-11,C006,Langtang Stores,698443,90798,789241,Paid
SI/2081/1012,2081-11-26,C005,Kanchanjunga Mart,564676,73408,638084,Paid
SI/2081/1013,2081-12-13,C003,Dhaulagiri Wholesale,771560,100303,871863,Outstanding
SI/2081/1014,2081-10-01,C005,Kanchanjunga Mart,1574808,204725,1779533,Paid
SI/2081/1015,2081-09-20,C001,Sagarmatha Distributors,126237,16411,142648,Outstanding
SI/2081/1016,2081-09-08,C008,Rara Exporters,902117,117275,1019392,Paid
SI/2081/1017,2081-11-17,C004,Annapurna Holdings Pvt. Ltd.,850001,110500,960501,Paid
SI/2081/1018,2081-06-27,C007,Makalu Trading,431001,56030,487031,Late
SI/2081/1019,2081-10-07,C006,Langtang Stores,1374506,178686,1553192,Paid
SI/2081/1020,2081-07-23,C003,Dhaulagiri Wholesale,489271,63605,552876,Paid
SI/2081/1021,2081-12-03,C007,Makalu Trading,1273923,165610,1439533,Paid
SI/2081/1022,2081-07-04,C001,Sagarmatha Distributors,633739,82386,716125,Outstanding
SI/2081/1023,2081-07-07,C001,Sagarmatha Distributors,1792024,232963,2024987,Paid
SI/2081/1024,2081-08-21,C004,Annapurna Holdings Pvt. Ltd.,1121765,145829,1267594,Paid
SI/2081/1025,2082-01-13,C004,Annapurna Holdings Pvt. Ltd.,1386023,180183,1566206,Outstanding
SI/2081/1026,2081-06-16,C005,Kanchanjunga Mart,1647380,214159,1861539,Paid
SI/2081/1027,2081-09-14,C008,Rara Exporters,225433,29306,254739,Late
SI/2081/1028,2081-11-04,C003,Dhaulagiri Wholesale,894881,116335,1011216,Paid
SI/2081/1029,2081-12-30,C007,Makalu Trading,168376,21889,190265,Outstanding
SI/2081/1030,2081-09-12,C001,Sagarmatha Distributors,1770050,230106,2000156,Paid
SI/2081/1031,2081-07-08,C001,Sagarmatha Distributors,1144917,148839,1293756,Outstanding
SI/2081/1032,2082-01-15,C006,Langtang Stores,1116170,145102,1261272,Paid
SI/2081/1033,2081-06-13,C004,Annapurna Holdings Pvt. Ltd.,626440,81437,707877,Outstanding
SI/2081/1034,2081-07-10,C003,Dhaulagiri Wholesale,1363427,177246,1540673,Outstanding
SI/2081/1035,2081-04-30,C001,Sagarmatha Distributors,1401229,182160,1583389,Paid
SI/2081/1036,2081-07-24,C005,Kanchanjunga Mart,1585441,206107,1791548,Paid
SI/2081/1037,2081-10-19,C002,Manaslu Retail Chain,73453,9549,83002,Paid
SI/2081/1038,2081-10-28,C002,Manaslu Retail Chain,1057110,137424,1194534,Late
SI/2081/1039,2081-10-23,C001,Sagarmatha Distributors,1003651,130475,1134126,Paid
SI/2081/1040,2081-10-03,C005,Kanchanjunga Mart,147547,19181,166728,Paid
SI/2081/1041,2081-04-04,C002,Manaslu Retail Chain,780865,101512,882377,Paid
SI/2081/1042,2081-06-15,C006,Langtang Stores,1230693,159990,1390683,Late
SI/2081/1043,2081-10-01,C005,Kanchanjunga Mart,1543315,200631,1743946,Late
SI/2081/1044,2081-07-27,C003,Dhaulagiri Wholesale,784129,101937,886066,Outstanding
SI/2081/1045,2082-01-09,C006,Langtang Stores,1037029,134814,1171843,Late
SI/2081/1046,2082-01-15,C002,Manaslu Retail Chain,966539,125650,1092189,Outstanding
SI/2081/1047,2082-01-01,C004,Annapurna Holdings Pvt. Ltd.,1657971,215536,1873507,Paid
SI/2081/1048,2082-01-04,C007,Makalu Trading,489086,63581,552667,Late
SI/2081/1049,2081-04-15,C006,Langtang Stores,1433747,186387,1620134,Paid
SI/2081/1050,2081-07-14,C004,Annapurna Holdings Pvt. Ltd.,385931,50171,436102,Paid
SI/2081/1051,2081-08-30,C008,Rara Exporters,1577647,205094,1782741,Paid
SI/2081/1052,2081-11-15,C005,Kanchanjunga Mart,1104558,143593,1248151,Paid
SI/2081/1053,2081-12-08,C001,Sagarmatha Distributors,1405975,182777,1588752,Late
SI/2081/1054,2081-10-24,C002,Manaslu Retail Chain,1028811,133745,1162556,Paid
SI/2081/1055,2081-10-14,C007,Makalu Trading,1182173,153682,1335855,Paid
SI/2081/1056,2081-08-22,C005,Kanchanjunga Mart,509103,66183,575286,Late
SI/2081/1057,2081-06-12,C004,Annapurna Holdings Pvt. Ltd.,642963,83585,726548,Paid
SI/2081/1058,2081-04-29,C008,Rara Exporters,1342541,174530,1517071,Outstanding
SI/2081/1059,2081-05-15,C008,Rara Exporters,448182,58264,506446,Paid
SI/2081/1060,2081-06-22,C004,Annapurna Holdings Pvt. Ltd.,419262,54504,473766,Paid
SI/2081/1061,2081-12-10,C002,Manaslu Retail Chain,796493,103544,900037,Paid
SI/2081/1062,2082-02-21,C005,Kanchanjunga Mart,562915,73179,636094,Paid
SI/2081/1063,2081-12-25,C004,Annapurna Holdings Pvt. Ltd.,284419,36974,321393,Outstanding
SI/2081/1064,2081-08-16,C007,Makalu Trading,1022652,132945,1155597,Paid
SI/2081/1065,2081-10-24,C008,Rara Exporters,644504,83786,728290,Late
SI/2081/1066,2081-04-04,C004,Annapurna Holdings Pvt. Ltd.,1624287,211157,1835444,Paid
SI/2081/1067,2081-09-16,C002,Manaslu Retail Chain,1138695,148030,1286725,Outstanding
SI/2081/1068,2081-07-25,C003,Dhaulagiri Wholesale,361760,47029,408789,Outstanding
SI/2081/1069,2081-07-23,C004,Annapurna Holdings Pvt. Ltd.,1000471,130061,1130532,Outstanding
SI/2081/1070,2081-12-15,C005,Kanchanjunga Mart,1116960,145205,1262165,Paid
SI/2081/1071,2081-12-17,C003,Dhaulagiri Wholesale,1753817,227996,1981813,Paid
SI/2081/1072,2081-07-22,C007,Makalu Trading,311301,40469,351770,Paid
SI/2081/1073,2081-12-21,C006,Langtang Stores,1766145,229599,1995744,Late
SI/2081/1074,2081-11-30,C003,Dhaulagiri Wholesale,1245276,161886,1407162,Outstanding
SI/2081/1075,2081-07-06,C008,Rara Exporters,712982,92688,805670,Outstanding
SI/2081/1076,2082-01-21,C007,Makalu Trading,446010,57981,503991,Paid
SI/2081/1077,2081-05-30,C004,Annapurna Holdings Pvt. Ltd.,517071,67219,584290,Paid
SI/2081/1078,2082-01-27,C005,Kanchanjunga Mart,1511552,196502,1708054,Paid
SI/2081/1079,2081-10-16,C004,Annapurna Holdings Pvt. Ltd.,711332,92473,803805,Paid
SI/2081/1080,2081-06-15,C001,Sagarmatha Distributors,1422892,184976,1607868,Paid
SI/2081/1081,2081-12-14,C007,Makalu Trading,70946,9223,80169,Paid
SI/2081/1082,2081-07-23,C008,Rara Exporters,880260,114434,994694,Paid
SI/2081/1083,2081-06-25,C008,Rara Exporters,681387,88580,769967,Paid
SI/2081/1084,2082-03-16,C006,Langtang Stores,85507,11116,96623,Paid
SI/2081/1085,2081-07-08,C001,Sagarmatha Distributors,356301,46319,402620,Paid
SI/2081/1086,2082-02-08,C002,Manaslu Retail Chain,1670909,217218,1888127,Paid
SI/2081/1087,2082-03-20,C005,Kanchanjunga Mart,53913,7009,60922,Paid
SI/2081/1088,2081-12-26,C004,Annapurna Holdings Pvt. Ltd.,1264488,164383,1428871,Paid
SI/2081/1089,2081-09-25,C005,Kanchanjunga Mart,255880,33264,289144,Paid
SI/2081/1090,2081-08-17,C004,Annapurna Holdings Pvt. Ltd.,664825,86427,751252,Outstanding
SI/2081/1091,2081-09-29,C001,Sagarmatha Distributors,181735,23626,205361,Late
SI/2081/1092,2082-02-06,C008,Rara Exporters,1147629,149192,1296821,Outstanding
SI/2081/1093,2082-03-13,C005,Kanchanjunga Mart,748270,97275,845545,Outstanding
SI/2081/1094,2082-01-02,C008,Rara Exporters,1150794,149603,1300397,Paid
SI/2081/1095,2081-07-09,C007,Makalu Trading,1181431,153586,1335017,Paid
SI/2081/1096,2081-12-18,C002,Manaslu Retail Chain,1434961,186545,1621506,Outstanding
SI/2081/1097,2081-05-23,C003,Dhaulagiri Wholesale,1187657,154395,1342052,Late
SI/2081/1098,2081-05-14,C006,Langtang Stores,1326649,172464,1499113,Paid
SI/2081/1099,2082-02-06,C006,Langtang Stores,288639,37523,326162,Paid
SI/2081/1100,2081-04-21,C004,Annapurna Holdings Pvt. Ltd.,1152119,149775,1301894,Paid
SI/2081/1101,2081-08-27,C008,Rara Exporters,516675,67168,583843,Outstanding
SI/2081/1102,2081-12-11,C004,Annapurna Holdings Pvt. Ltd.,864777,112421,977198,Outstanding
SI/2081/1103,2082-01-26,C006,Langtang Stores,462189,60085,522274,Paid
SI/2081/1104,2081-08-12,C001,Sagarmatha Distributors,133088,17301,150389,Outstanding
SI/2081/1105,2081-06-19,C002,Manaslu Retail Chain,487759,63409,551168,Outstanding
SI/2081/1106,2081-09-02,C004,Annapurna Holdings Pvt. Ltd.,1469915,191089,1661004,Paid
SI/2081/1107,2082-03-10,C005,Kanchanjunga Mart,1447075,188120,1635195,Outstanding
SI/2081/1108,2081-06-08,C003,Dhaulagiri Wholesale,673549,87561,761110,Paid
SI/2081/1109,2082-02-22,C004,Annapurna Holdings Pvt. Ltd.,221956,28854,250810,Paid
SI/2081/1110,2081-08-23,C002,Manaslu Retail Chain,342343,44505,386848,Outstanding
SI/2081/1111,2081-12-24,C006,Langtang Stores,160066,20809,180875,Outstanding
SI/2081/1112,2081-12-16,C008,Rara Exporters,157456,20469,177925,Paid
SI/2081/1113,2081-09-07,C001,Sagarmatha Distributors,1508833,196148,1704981,Outstanding
SI/2081/1114,2081-09-24,C008,Rara Exporters,599932,77991,677923,Paid
SI/2081/1115,2081-04-28,C002,Manaslu Retail Chain,262225,34089,296314,Outstanding
SI/2081/1116,2081-05-10,C001,Sagarmatha Distributors,1289527,167639,1457166,Paid
SI/2081/1117,2081-04-23,C005,Kanchanjunga Mart,329075,42780,371855,Paid
SI/2081/1118,2081-12-08,C006,Langtang Stores,1701732,221225,1922957,Paid
SI/2081/1119,2081-07-05,C006,Langtang Stores,1445504,187916,1633420,Paid
SI/2081/9999,2082-03-31,C004,Annapurna Holdings Pvt. Ltd.,1000000,130000,1130000,Outstanding
