je_no,date,account_debit,account_credit,amount,narration,posted_by,approved_by
JE-1000,2081-07-16,1200,2100,238220,Routine posting,E006,E006
JE-1001,2081-10-18,3200,5600,189294,Routine posting,E002,E007
JE-1002,2081-07-29,1100,5100,142791,Routine posting,E006,E001
JE-1003,2081-04-02,3100,2200,322041,Routine posting,E008,E004
JE-1004,2082-02-04,5500,2300,82331,Routine posting,E008,E008
JE-1005,2081-12-29,5600,5700,119720,Routine posting,E001,E004
JE-1006,2081-06-29,1300,4200,266811,Routine posting,E006,E003
JE-1007,2081-07-16,5100,2200,39864,Routine posting,E004,E004
JE-1008,2082-03-24,5400,2100,439724,Routine posting,E003,E003
JE-1009,2081-08-02,5700,4100,406439,Routine posting,E006,E006
JE-1010,2081-11-09,5100,4200,118863,Routine posting,E003,E001
JE-1011,2082-01-04,2400,4100,80826,Routine posting,E006,E001
JE-1012,2081-06-21,1100,2100,160754,Routine posting,E004,E006
JE-1013,2081-08-22,4100,2100,122517,Routine posting,E007,E004
JE-1014,2081-05-08,2400,5500,141219,Routine posting,E005,E004
JE-1015,2082-02-19,1510,5400,284033,Routine posting,E008,E007
JE-1016,2082-01-06,1300,1100,364965,Routine posting,E006,E003
JE-1017,2081-12-25,1510,5500,293849,Routine posting,E001,E008
JE-1018,2081-06-09,1300,3200,39374,Routine posting,E002,E004
JE-1019,2082-01-04,4100,4200,233972,Routine posting,E008,E007
JE-1020,2081-10-09,1500,5600,373709,Routine posting,E006,E001
JE-1021,2082-02-15,2200,2400,55704,Routine posting,E004,E003
JE-1022,2081-08-05,5700,5700,379897,Routine posting,E002,E008
JE-1023,2081-09-06,2100,1100,202226,Routine posting,E003,E007
JE-1024,2081-09-29,2100,5100,322641,Routine posting,E006,E005
JE-1025,2081-04-10,4200,5400,38643,Routine posting,E004,E008
JE-1026,2082-03-16,5100,2300,139934,Routine posting,E006,E008
JE-1027,2081-07-17,1300,5500,384507,Routine posting,E005,E001
JE-1028,2082-02-04,1100,1500,293223,Routine posting,E001,E005
JE-1029,2082-02-15,1100,2200,220348,Routine posting,E003,E008
JE-1030,2082-01-10,1300,1510,317708,Routine posting,E007,E007
JE-1031,2081-07-31,5200,1300,293435,Routine posting,E001,E002
JE-1032,2081-07-02,1500,1510,108244,Routine posting,E007,E003
