date,sku,movement_type,qty,ref
2081-05-16,CONS-09,TRANSFER,22,MV-03000
2081-07-24,RM-014,IN,10,MV-03001
2081-10-10,RM-014,ADJUSTMENT,89,MV-03002
2081-09-05,FG-302,TRANSFER,187,MV-03003
2081-09-07,RM-027,ADJUSTMENT,156,MV-03004
2081-08-22,RM-014,OUT,70,MV-03005
2081-11-16,FG-302,OUT,151,MV-03006
2081-10-23,WIP-101,IN,91,MV-03007
2081-11-02,FG-302,IN,21,MV-03008
2081-04-03,FG-118,IN,174,MV-03009
2082-02-05,FG-302,ADJUSTMENT,9,MV-03010
2081-06-07,RM-014,ADJUSTMENT,14,MV-03011
2081-11-20,FG-302,TRANSFER,57,MV-03012
2081-04-14,FG-205,TRANSFER,200,MV-03013
2082-01-20,WIP-101,ADJUSTMENT,3,MV-03014
2081-08-29,FG-118,TRANSFER,166,MV-03015
2081-10-13,FG-302,ADJUSTMENT,183,MV-03016
2081-07-08,FG-205,IN,60,MV-03017
2082-02-14,RM-001,OUT,8,MV-03018
2081-07-04,RM-027,OUT,14,MV-03019
2081-06-30,CONS-09,ADJUSTMENT,23,MV-03020
2081-12-26,RM-027,OUT,118,MV-03021
2081-05-01,FG-302,IN,8,MV-03022
2082-03-26,RM-001,TRANSFER,21,MV-03023
2081-10-12,RM-001,OUT,194,MV-03024
2081-12-18,RM-001,TRANSFER,124,MV-03025
2081-06-05,WIP-101,ADJUSTMENT,138,MV-03026
2081-05-05,RM-027,ADJUSTMENT,54,MV-03027
2082-03-16,FG-302,TRANSFER,182,MV-03028
2081-04-15,RM-027,TRANSFER,96,MV-03029
2081-07-01,FG-205,TRANSFER,89,MV-03030
2081-10-07,WIP-101,OUT,175,MV-03031
2081-07-28,FG-509,ADJUSTMENT,154,MV-03032
2081-05-26,FG-205,OUT,172,MV-03033
2081-07-25,WIP-101,ADJUSTMENT,57,MV-03034
2081-06-06,FG-302,TRANSFER,133,MV-03035
2082-01-28,FG-302,IN,54,MV-03036
2082-02-07,FG-509,TRANSFER,73,MV-03037
2082-01-30,FG-302,TRANSFER,11,MV-03038
2081-07-18,RM-001,ADJUSTMENT,25,MV-03039
2081-12-22,FG-509,IN,24,MV-03040
2081-06-05,CONS-09,ADJUSTMENT,23,MV-03041
2081-04-20,FG-509,IN,105,MV-03042
2081-05-06,FG-302,OUT,92,MV-03043
2081-08-20,RM-014,ADJUSTMENT,66,MV-03044
2081-09-14,FG-509,TRANSFER,107,MV-03045
2082-01-16,RM-014,IN,55,MV-03046
2081-05-09,RM-001,IN,120,MV-03047
2081-05-11,CONS-09,TRANSFER,40,MV-03048
2081-06-11,RM-014,ADJUSTMENT,195,MV-03049
2081-05-13,FG-205,TRANSFER,91,MV-03050
2081-08-16,FG-118,IN,152,MV-03051
2081-11-12,FG-118,IN,37,MV-03052
2081-05-20,RM-027,OUT,31,MV-03053
2081-10-20,FG-205,ADJUSTMENT,123,MV-03054
2082-01-01,FG-509,IN,45,MV-03055
2082-03-16,RM-014,OUT,24,MV-03056
